Fecha,precio_cierre,precio_maximo,precio_minimo,Precio promedio ponderado,Variacion porcentual,Variacion absoluta,cantidad,volumen,ticker,log_ret_30,roc_30,log_ret_60,roc_60,log_ret_90,roc_90,ret_diario,volatilidad_20d,atr_14,volumen_ma20,volumen_relativo,max_52w,min_52w,prox_max_52w,prox_min_52w,rsi_14,dist_sma_20
2021-01-02,31210.0,31600.0,31000.0,31313.35,1.99,610.0,554090.0,17350411740.0,BANCOLOMBIA,,,,,,,,,,,,,,,,,
2021-01-03,30710.0,31300.0,30500.0,30797.65,-2.2,-690.0,200816.0,6184660410.0,BANCOLOMBIA,,,,,,,-0.016020506247997446,,,,,,,,,,
2021-01-06,27710.0,27930.0,27480.0,27651.51,2.63,710.0,118936.0,3288760130.0,BANCOLOMBIA,,,,,,,-0.09768804949527843,,,,,,,,,,
2021-01-07,26080.0,26800.0,26070.0,26217.29,-1.21,-320.0,186550.0,4890835590.0,BANCOLOMBIA,,,,,,,-0.05882352941176472,,,,,,,,,,
2021-01-09,31300.0,31600.0,31050.0,31278.11,0.74,230.0,144656.0,4524565800.0,BANCOLOMBIA,,,,,,,0.20015337423312873,,,,,,,,,,
2021-01-10,33000.0,33260.0,32940.0,33044.28,0.12,40.0,74761.0,2470423310.0,BANCOLOMBIA,,,,,,,0.054313099041533475,,,,,,,,,,
2021-01-12,34500.0,34960.0,32660.0,34367.15,6.58,2130.0,1127440.0,38746900250.0,BANCOLOMBIA,,,,,,,0.045454545454545414,,,,,,,,,,
2021-02-02,31610.0,31810.0,31600.0,31675.58,1.28,400.0,508557.0,16108837590.0,BANCOLOMBIA,,,,,,,-0.08376811594202893,,,,,,,,,,
2021-02-03,30450.0,30710.0,30420.0,30520.1,-0.85,-260.0,39834.0,1215737600.0,BANCOLOMBIA,,,,,,,-0.03669724770642202,,,,,,,,,,
2021-02-06,27800.0,28000.0,27220.0,27618.58,0.32,90.0,220903.0,6101026960.0,BANCOLOMBIA,,,,,,,-0.08702791461412152,,,,,,,,,,
2021-02-07,27500.0,27500.0,25700.0,26606.6,5.44,1420.0,163660.0,4354436050.0,BANCOLOMBIA,,,,,,,-0.010791366906474864,,,,,,,,,,
2021-02-08,27700.0,27850.0,27220.0,27521.52,2.21,600.0,49728.0,1368589900.0,BANCOLOMBIA,,,,,,,0.0072727272727273196,,,,,,,,,,
2021-02-09,31200.0,31400.0,31150.0,31264.18,-0.32,-100.0,74489.0,2328837760.0,BANCOLOMBIA,,,,,,,0.12635379061371843,,,,,,,,,,
2021-02-11,34000.0,34100.0,33750.0,33987.4,0.95,320.0,113484.0,3857026530.0,BANCOLOMBIA,,,,,,,0.08974358974358965,,2335.714285714286,,,,,,,55.157116422469514,
2021-02-12,35880.0,35880.0,34000.0,35065.91,4.0,1380.0,446521.0,15657662970.0,BANCOLOMBIA,,,,,,,0.055294117647058716,,2427.1428571428573,,,,,,,58.07120633207754,
2021-03-02,31000.0,31800.0,31000.0,31418.42,-1.93,-610.0,440579.0,13842296960.0,BANCOLOMBIA,,,,,,,-0.13600891861761422,,2718.5714285714284,,,,,,,50.43530469210164,
2021-03-03,30300.0,30550.0,30300.0,30331.8,-0.49,-150.0,171509.0,5202177290.0,BANCOLOMBIA,,,,,,,-0.022580645161290325,,2537.8571428571427,,,,,,,54.176072210304255,
2021-03-05,27400.0,28300.0,27030.0,27827.34,-1.86,-520.0,39831.0,1108390910.0,BANCOLOMBIA,,,,,,,-0.09570957095709576,,2654.285714285714,,,,,,,52.0446096428555,
2021-03-06,28340.0,28340.0,27700.0,28087.47,1.94,540.0,97545.0,2739791980.0,BANCOLOMBIA,,,,,,,0.03430656934306575,,2327.1428571428573,,,,,,,44.71428569192857,
2021-03-08,27640.0,27690.0,27320.0,27559.33,-0.22,-60.0,143401.0,3952035130.0,BANCOLOMBIA,,,,,,,-0.02470007057163015,,2260.0,7764670243.0,0.5089765574478627,,,,,40.07407405329492,-0.08677911221691378
2021-03-09,31400.0,31400.0,30980.0,31235.36,0.64,200.0,36750.0,1147899570.0,BANCOLOMBIA,,,,,,,0.13603473227206941,0.08875425373248172,2364.285714285714,6954544634.5,0.16505747397256135,,,,,44.7026657339085,0.03712511560189176
