Fecha,Precio cierre,Precio maximo,Precio minimo,Precio promedio ponderado,Variacion porcentual,Variacion absoluta,Cantidad,Volumen,ticker,sector,MA_30,MA_60,MA_90,Retorno_Log,Retorno_Diario,Volatilidad_EWMA,Vol_Corta,Max_Acumulado,Drawdown,Variacion_Absoluta_Calc,Dia_Semana,RSI_14,Momentum_10d,Vol_MA20,Vol_Rel,Dist_MA20,Target_5d
2021-03-08,194.0,0.0,0.0,191.03,0.0,0.0,24878.0,4752559.0,ETB,TELECOM,208.09499999999997,208.09499999999997,208.09499999999997,-0.09343400664609693,-8.920187793427225,109.15544909092156,8.726233880949007,230.0,-0.15652173913043477,-19.0,Lunes,48.27784156142366,-0.08920187793427226,89512884.72,0.05309357434816452,-6.773348710925285,1
2021-03-09,202.1,0.0,0.0,197.21,0.0,0.0,26264.0,5179458.0,ETB,TELECOM,207.8095238095238,207.8095238095238,207.8095238095238,0.04090446534624727,4.17525773195877,105.97021581085615,6.847542942458053,230.0,-0.12130434782608701,8.099999999999994,Martes,52.89730349971314,-0.023671497584541124,65411637.53000001,0.07918251546025773,-2.7664180899687274,1
2021-03-11,201.0,0.0,0.0,199.22,0.0,0.0,21326.0,4248492.0,ETB,TELECOM,207.5,207.5,207.5,-0.0054577163504995205,-0.5442850074220629,100.16292079552088,5.693454373067302,230.0,-0.12608695652173918,-1.0999999999999943,Jueves,45.76271186440678,0.03608247422680422,64409253.96,0.06596089441803558,-2.6162790697674443,1
2021-03-12,190.1,190.1,190.1,190.63,-0.99,-1.9,157831.0,30086813.3,ETB,TELECOM,206.74347826086958,206.74347826086958,206.74347826086958,-0.05575465856469226,-5.422885572139302,98.35751832582451,5.279926488478024,230.0,-0.1734782608695652,-10.900000000000006,Viernes,36.54753877275792,-0.059376546264225616,65289391.589999996,0.4608223873326494,-7.430853135956365,1
2021-04-01,213.0,216.0,213.0,214.64,-1.84,-4.0,317066.0,68056593.7,ETB,TELECOM,207.0041666666667,207.0041666666667,207.0041666666667,0.11374191621504173,12.046291425565503,111.10074950393829,8.238076013181955,230.0,-0.07391304347826089,22.900000000000006,Jueves,50.0,0.05970149253731338,67773163.0,1.0041820491689315,3.6168608469340606,0
2021-04-02,212.1,212.1,212.1,211.33,-0.89,-1.9,106118.0,22426412.5,ETB,TELECOM,207.208,207.208,207.208,-0.004234304138788344,-0.42253521126760507,105.3429021108924,6.578285406226122,230.0,-0.07782608695652171,-0.9000000000000057,Viernes,51.710261569416495,0.10468750000000004,67570087.04,0.3318985291039222,2.9261901295676234,0
2021-04-03,219.0,221.4,219.0,220.28,-3.52,-8.0,722399.0,159132031.5,ETB,TELECOM,207.66153846153844,207.66153846153844,207.66153846153844,0.03201386824586418,3.2531824611032656,100.8632935320286,6.5134861985179615,230.0,-0.047826086956521685,6.900000000000006,,58.74125874125874,0.02336448598130847,75257951.99000001,2.114487935057612,5.786880494638209,0
2021-04-05,210.0,0.0,0.0,208.54,0.0,0.0,25436.0,5304447.4,ETB,TELECOM,207.74814814814815,207.74814814814815,207.74814814814815,-0.04196419909903219,-4.109589041095896,98.52408385037967,7.008184858301385,230.0,-0.08695652173913049,-9.0,Lunes,52.7449617790132,-0.07488986784140972,74575647.08,0.07112841266143796,1.0003847633705332,1
2021-04-06,213.0,0.0,0.0,213.82,0.0,0.0,8438.0,1804212.0,ETB,TELECOM,207.93571428571428,207.93571428571428,207.93571428571428,0.014184634991956381,1.4285714285714235,93.71545594799595,6.021966239080181,230.0,-0.07391304347826089,3.0,Martes,54.115226337448554,0.014285714285714235,36999556.05,0.04876307157744938,2.467888584211298,0
2021-04-08,197.0,197.0,185.9,190.32,1.55,3.0,157631.0,30000523.4,ETB,TELECOM,207.55862068965516,207.55862068965516,207.55862068965516,-0.07808843697143658,-7.511737089201875,97.20731664388451,4.338125730481745,230.0,-0.14347826086956517,-16.0,Jueves,51.63612565445026,-0.07511737089201875,38164763.675,0.7860791083491493,-4.4709533507904045,1
2021-04-10,195.0,199.9,195.0,195.6,-2.5,-5.0,920451.0,180042914.0,ETB,TELECOM,207.14,207.14,207.14,-0.010204170174241736,-1.0152284263959421,92.36857634141766,4.310273966440769,230.0,-0.15217391304347827,-2.0,,42.846385542168676,0.005154639175257714,44427519.525,4.052508803663623,-5.026300409117472,1
2021-04-11,201.0,0.0,0.0,197.22,0.0,0.0,62724.0,12370671.5,ETB,TELECOM,206.94,206.94193548387096,206.94193548387096,0.030305349495328843,3.076923076923066,89.47300959426576,4.2611925965139035,230.0,-0.12608695652173918,6.0,,39.66613672496025,-0.005442850074220629,43741223.89,0.28281493748573755,-1.9607843137254815,1
2021-05-01,215.0,215.0,213.0,213.3,0.94,2.0,372131.0,79376879.0,ETB,TELECOM,206.44,207.19375,207.19375,0.06733312006858695,6.965174129353224,91.38193064383752,5.379259424963646,230.0,-0.06521739130434778,14.0,,52.03583061889251,0.06965174129353224,47645364.94,1.6659937246773033,4.333478914931823,0
2021-05-02,212.1,0.0,0.0,214.34,0.0,0.0,38769.0,8309580.3,ETB,TELECOM,206.48000000000002,207.34242424242424,207.34242424242424,-0.013580166557026117,-1.3488372093023338,87.31624202286044,5.414143980696714,230.0,-0.07782608695652171,-2.9000000000000057,,49.63325183374083,0.11572856391372954,47496267.135,0.1749522815420724,2.6770586241951886,0
2021-05-03,239.0,239.0,216.9,226.55,9.13,20.0,1042603.0,236198765.9,ETB,TELECOM,207.48333333333332,208.2735294117647,208.2735294117647,0.119405690360874,12.682696841112694,100.0453749731542,5.89003615695859,239.0,0.0,26.900000000000006,Lunes,67.2281776416539,0.1220657276995305,57832629.92999999,4.084178191202657,14.644793015781662,0
2021-05-04,221.0,0.0,0.0,221.27,0.0,0.0,1840.0,407139.2,ETB,TELECOM,208.11666666666667,208.63714285714286,208.63714285714286,-0.07830085041375782,-7.531380753138073,104.82434318910234,7.730435076834843,239.0,-0.07531380753138073,-18.0,Martes,56.72597864768683,0.04196133899104204,56520389.279999994,0.007203404031473438,5.2782012195122014,0
2021-05-05,210.0,0.0,0.0,208.02,0.0,0.0,32429.0,6745831.3,ETB,TELECOM,208.45,208.675,208.675,-0.05105517080028418,-4.977375565610864,103.26118237597927,8.455387522621765,239.0,-0.12133891213389125,-11.0,Miércoles,52.992021276595736,-0.04109589041095896,56855884.875,0.11864789924263754,0.1335113484646336,1
2021-05-08,197.0,0.0,0.0,185.18,0.0,0.0,22307.0,4130819.1,ETB,TELECOM,208.61666666666667,208.35945945945946,208.35945945945946,-0.06390380197948017,-6.190476190476191,102.83165495747365,8.24072776656935,239.0,-0.17573221757322177,-13.0,,52.26229508196722,-0.06190476190476191,47724758.2,0.08655505561052795,-5.388531361060403,1
2021-05-10,195.0,197.0,195.0,196.28,0.0,0.0,343531.0,67426558.2,ETB,TELECOM,207.98333333333332,208.0078947368421,208.0078947368421,-0.010204170174241736,-1.0152284263959421,97.90055586359553,8.24333527311458,239.0,-0.18410041841004188,-2.0,Lunes,43.16109422492401,-0.08450704225352113,46499359.69,1.4500534770697184,-6.010507543259253,1
2021-05-11,201.0,0.0,0.0,195.82,0.0,0.0,80381.0,15739820.4,ETB,TELECOM,207.01666666666668,207.82820512820513,207.82820512820513,0.030305349495328843,3.076923076923066,94.82835582661907,4.328815375304007,239.0,-0.15899581589958156,6.0,Martes,45.94001463057791,0.020304568527918843,47087026.08499999,0.33427085353802083,-2.8375308164547675,0
2021-06-01,218.0,218.2,216.5,217.94,1.4,3.0,712268.0,155233026.3,ETB,TELECOM,207.18333333333334,208.08249999999998,208.08249999999998,0.08119015473001322,8.457711442786064,98.72183721255702,6.021693986308524,239.0,-0.08786610878661083,17.0,Martes,49.65940054495913,0.11794871794871797,54611049.45,2.842520476412489,4.772432354496087,0
2021-06-04,221.0,0.0,0.0,219.07,0.0,0.0,9840.0,2155607.8,ETB,TELECOM,207.65,208.39756097560974,208.39756097560974,0.013667638728663835,1.3761467889908285,94.10531878148751,5.379061783115,239.0,-0.07531380753138073,3.0,Viernes,53.90625,0.09950248756218905,54459856.94,0.03958159130632487,5.7340382269215056,0
2021-06-05,210.0,0.0,0.0,211.05,0.0,0.0,20136.0,4249782.7,ETB,TELECOM,208.18333333333334,208.43571428571425,208.43571428571425,-0.05105517080028418,-4.977375565610864,93.52946732395911,4.978123121655556,239.0,-0.12133891213389125,-11.0,,48.99193548387097,-0.023255813953488413,54459921.475,0.07803505008634426,0.25541259876351496,0
2021-06-07,207.0,0.0,0.0,204.38,0.0,0.0,67631.0,13822472.5,ETB,TELECOM,208.3466666666667,208.40232558139533,208.40232558139533,-0.014388737452099556,-1.4285714285714235,89.35491401297338,5.031069180884693,239.0,-0.13389121338912136,-3.0,Lunes,53.681885125184095,-0.024045261669023987,53646704.435,0.25765743945646713,-1.5738671484950797,1
2021-06-08,197.0,0.0,0.0,194.0,0.0,0.0,5043.0,978342.0,ETB,TELECOM,208.21333333333334,208.1431818181818,208.1431818181818,-0.04951506452738056,-4.8309178743961345,88.1314124135957,5.549455573894905,239.0,-0.17573221757322177,-10.0,Martes,50.695410292072324,-0.17573221757322177,50292791.85,0.019452926831302963,-5.971075366330958,1
2021-06-09,202.1,0.0,0.0,202.53,0.0,0.0,67448.0,13660320.6,ETB,TELECOM,208.55,208.0088888888889,208.0088888888889,0.02555889567158671,2.5888324873096336,85.22788579226489,3.4703249478829172,239.0,-0.1543933054393306,5.099999999999994,Miércoles,50.38488453463961,-0.08552036199095026,49854487.255,0.2740038329976,-3.306061910913352,1
2021-06-10,198.9,198.9,198.9,197.73,2.0,3.9,146937.0,29054226.7,ETB,TELECOM,208.04666666666668,207.8108695652174,207.8108695652174,-0.015960438549648785,-1.5833745670460142,81.44028755565505,3.099421010259164,239.0,-0.16778242677824262,-3.1999999999999886,Jueves,43.90613171839516,-0.052857142857142825,43350597.015,0.6702151458247916,-4.377298622629272,1
2021-06-12,191.0,191.0,191.0,191.69,0.47,0.9,146212.0,28027100.2,ETB,TELECOM,206.8466666666667,207.4531914893617,207.4531914893617,-0.04052875781329673,-3.9718451483157446,79.48850972559543,2.8870359727445347,239.0,-0.20083682008368198,-7.900000000000006,,42.30488694383662,-0.030456852791878153,44486729.655,0.6300103517915021,-7.75397841153317,1
2021-07-01,213.0,216.0,213.0,213.26,-2.29,-5.0,791081.0,168701985.1,ETB,TELECOM,206.9466666666667,207.56875,207.56875,0.10901873766279525,11.518324607329845,93.42133895357917,6.675047838535609,239.0,-0.10878661087866104,22.0,Jueves,40.16641452344932,0.0923076923076922,52831618.31,3.1932011643123936,2.8712177923740034,0
2021-07-04,221.0,0.0,0.0,215.45,0.0,0.0,4657.0,1003362.1,ETB,TELECOM,207.21333333333334,207.84285714285713,207.84285714285713,0.036870535808327796,3.7558685446009488,90.39989196624644,5.946986957722534,239.0,-0.07531380753138073,8.0,,50.0,0.09950248756218905,51381760.245,0.019527592967149038,6.119901082807123,0
2021-07-05,212.0,212.0,210.0,211.82,0.95,2.0,409365.0,86709673.3,ETB,TELECOM,207.81333333333336,207.926,207.926,-0.04157642684574033,-4.072398190045245,89.06016512364396,6.619453221400979,239.0,-0.11297071129707115,-9.0,Lunes,50.83194675540766,-0.02752293577981646,46715098.21,1.8561380928754767,1.3844719160230419,1
2021-07-07,207.0,0.0,0.0,205.19,0.0,0.0,22938.0,4706757.7,ETB,TELECOM,207.97666666666666,207.9078431372549,207.9078431372549,-0.02386748140664343,-2.358490566037741,85.74625505513023,6.707357637226488,239.0,-0.13389121338912136,-5.0,Miércoles,54.45632798573975,-0.06334841628959276,46331902.519999996,0.10158783568121865,-1.1484921563477613,1
2021-07-09,200.0,200.0,193.0,196.22,-1.04,-2.1,436962.0,85739535.9,ETB,TELECOM,207.94333333333333,207.7557692307692,207.7557692307692,-0.034401426717332435,-3.3816425120772986,83.27480092411975,6.602931376015465,239.0,-0.16317991631799167,-7.0,Viernes,52.13310580204777,-0.04761904761904767,46650035.364999995,1.8379307803124967,-4.1479954949558016,1
2021-07-10,198.9,198.9,195.0,197.76,0.0,0.0,448426.0,88682315.0,ETB,TELECOM,208.23666666666665,207.58867924528303,207.58867924528303,-0.005515180688110111,-0.5499999999999949,79.37452798584228,3.1329642873646986,239.0,-0.16778242677824262,-1.0999999999999943,,49.06500445235976,-0.03913043478260869,50668672.1,1.7502395725898645,-4.372701266857363,1
2021-07-12,192.0,193.9,185.0,188.93,0.52,1.0,1079342.0,203919578.8,ETB,TELECOM,207.53666666666666,207.3,207.3,-0.035306813832144956,-3.4690799396681737,77.1014680263073,1.383540092910594,239.0,-0.19665271966527198,-6.900000000000006,Lunes,37.27984344422701,-0.025380710659898442,49054712.745,4.156982426133663,-6.635220890369317,1
2021-08-01,215.2,217.9,215.0,216.56,1.03,2.2,840290.0,181970046.0,ETB,TELECOM,207.64,207.44363636363636,207.44363636363636,0.11407245625984781,12.083333333333336,92.73015202951456,6.600409776172982,239.0,-0.09958158995815902,23.19999999999999,,47.63071895424836,0.06481939633844624,58132858.085,3.130244271388295,4.7941369822989595,0
